address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168968Z,050816CNEMR02
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168967R,050816CNEMR04
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,11/22/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35111869X,112214PAERDM01
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180554K,050816CNEMR02
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,10/31/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35161299Z,133115PAERDM02
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180554K,050816CNEMR03
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,8/17/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35025449Z,
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/9/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35126819J,050915CONEMR01
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168967R,050816CNEMR03
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180554K,050816CNEMR04
1404 OGDEN AVENUE,Bronx,BX,2003382,2522,57,5/8/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35168967R,050816CNEMR02
141 EAST 149 STREET,Bronx,BX,2001040,2347,1,10/6/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
141 EAST 149 STREET,Bronx,BX,2001040,2347,1,5/3/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
141 EAST 149 STREET,Bronx,BX,2001040,2347,1,3/16/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
141 EAST 149 STREET,Bronx,BX,2001040,2347,1,7/20/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1428 FULTON STREET,Brooklyn,BK,3053796,1863,10,7/28/12 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34925249L,
1428 FULTON STREET,Brooklyn,BK,3053796,1863,10,3/10/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006326P,
1428 FULTON STREET,Brooklyn,BK,3053796,1863,10,7/28/12 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34925248J,
1428 FULTON STREET,Brooklyn,BK,3053796,1863,10,3/10/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006325H,
143 EAST 233 STREET,Bronx,BX,2018882,3369,24,5/17/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
143-06 LIBERTY AVENUE,Queens,QN,4214726,10041,1,6/26/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
143-67 243 STREET,Queens,QN,4448956,13570,60,7/28/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674,49,6/9/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674,49,11/8/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674,49,4/27/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
144-05 JAMAICA AVENUE,Queens,QN,4534221,9674,49,4/11/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
144-07 JAMAICA AVENUE,Queens,QN,4534220,9674,48,6/9/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
144-11 JAMAICA AVENUE,Queens,QN,4206706,9674,46,1/18/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1449 FLATBUSH AVENUE,Brooklyn,BK,3121668,5250,102,4/21/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1450 CROSBY AVENUE,Bronx,BX,2074737,5397,1,7/21/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1450 EAST GUNHILL ROAD,Bronx,BX,2055541,4567,100,2/3/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1453 3 AVENUE,Manhattan,MN,1081260,1528,1,3/15/13 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35010675P,
1454 2 AVENUE,Manhattan,MN,1045156,1450,49,9/22/12 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34985576N,092212PAERAC03
1455 ST NICHOLAS AVENUE,Manhattan,MN,1063948,2165,38,8/13/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35196891H,081316CNEAC03
1455 ST NICHOLAS AVENUE,Manhattan,MN,1063948,2165,38,8/13/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35196891H,081316CNETZ02
1455 ST NICHOLAS AVENUE,Manhattan,MN,1063948,2165,38,8/13/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35196890X,081316CNEAC03
1455 ST NICHOLAS AVENUE,Manhattan,MN,1063948,2165,38,8/13/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35196890X,081316CNETZ02
1455 ST NICHOLAS AVENUE,Manhattan,MN,1063948,2165,38,2/6/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
146 BROADWAY,Brooklyn,BK,3059526,2132,11,7/26/15 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35137427Y,072615CNERWS01
146 BROADWAY,Brooklyn,BK,3059526,2132,11,8/10/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35103225K,081014PAERDM01
1460 WESTCHESTER AVENUE,Bronx,BX,2023762,3737,38,6/4/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1465 3 AVENUE,Manhattan,MN,1048691,1528,146,3/15/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1465 JEROME AVENUE,Bronx,BX,2008317,2858,23,10/6/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1465 JEROME AVENUE,Bronx,BX,2008317,2858,23,1/9/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117241H,010915CNETV01
1465 JEROME AVENUE,Bronx,BX,2008317,2858,23,3/16/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35064672N,031614PANER01
1465 JEROME AVENUE,Bronx,BX,2008317,2858,23,3/16/14 0:00,ADMINISTRATIVE CLOSURE NN,,
1465 JEROME AVENUE,Bronx,BX,2008317,2858,23,8/17/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1465 JEROME AVENUE,Bronx,BX,2008317,2858,23,11/5/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35137104J,110516CERMT01
1468 BROADWAY,Manhattan,MN,1022579,994,7502,4/26/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
147 SHERMAN AVENUE,Manhattan,MN,1064764,2221,1,6/30/12 0:00,ADMINISTRATIVE CLOSURE NN,,
147 SHERMAN AVENUE,Manhattan,MN,1064764,2221,1,6/29/12 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34952091Y,063012CNEGA02
147-02 LIBERTY AVENUE,Queens,QN,4448842,10058,1,9/13/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
147-02 LIBERTY AVENUE,Queens,QN,4448842,10058,1,4/2/16 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35180131Z,040216CNERWS01
1472 OGDEN AVENUE,Bronx,BX,2003387,2522,81,11/22/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35111868Y,112114PAERDM02
1472 OGDEN AVENUE,Bronx,BX,2003387,2522,81,3/16/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35090737Y,031614PANEJM01/02
1472 OGDEN AVENUE,Bronx,BX,2003387,2522,81,3/16/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35090736M,031614PANEJM01/02
1472 OGDEN AVENUE,Bronx,BX,2003387,2522,81,1/28/17 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35196758Z,012817CNEWB01
1472 OGDEN AVENUE,Bronx,BX,2003387,2522,81,10/31/15 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35161298R,103115PAERDN01
1476 JEROME AVENUE,Bronx,BX,2008107,2844,5,1/4/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
148-33 HILLSIDE AVENUE,Queens,QN,4464391,9704,53,8/9/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1485 MYRTLE AVENUE,Brooklyn,BK,3075721,3309,33,5/15/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149 2 AVENUE,Manhattan,MN,1006799,465,53,3/8/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149 2 AVENUE,Manhattan,MN,1006799,465,53,8/18/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149 2 AVENUE,Manhattan,MN,1006799,465,53,12/16/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149 7 AVENUE,Brooklyn,BK,3024851,1069,6,3/22/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149 7 STREET,Brooklyn,BK,3021555,991,68,3/21/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149-05 UNION TURNPIKE,Queens,QN,4144787,6691,86,8/15/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149-05 UNION TURNPIKE,Queens,QN,4144787,6691,86,2/1/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149-05 UNION TURNPIKE,Queens,QN,4144787,6691,86,9/16/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34955595L,
149-15 JAMAICA AVENUE,Queens,QN,4206832,9679,86,2/18/17 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35219305P,021817PANEAC05
149-23 JAMAICA AVENUE,Queens,QN,4206828,9679,82,2/18/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149-23 JAMAICA AVENUE,Queens,QN,4206828,9679,82,11/8/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
149-23 JAMAICA AVENUE,Queens,QN,4206828,9679,82,4/3/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,10/24/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,5/9/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35091417J,051014CNEMR03
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,9/28/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1495 DEKALB AVENUE,Brooklyn,BK,3073627,3236,51,1/24/14 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35081284X,
15 1 AVENUE,Manhattan,MN,1006098,443,38,12/12/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
15 1 AVENUE,Manhattan,MN,1006098,443,38,8/18/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985204M,
15 CORSON AVENUE,Staten Island,SI,5089359,18,73,10/18/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
15 EAST 15 STREET,Manhattan,MN,1087180,843,7502,11/7/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
15 PUTNAM AVENUE,Brooklyn,BK,3335048,1981,70,12/21/12 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35006486Y,
15 WEST 183 STREET,Bronx,BX,2112707,3197,17,12/8/12 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34925381Z,120812CNELA01
150 VARICK STREET,Manhattan,MN,1007817,505,1,2/23/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
150 VARICK STREET,Manhattan,MN,1007817,505,1,9/29/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
150 VARICK STREET,Manhattan,MN,1007817,505,1,11/10/13 0:00,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35030563Z,
1506 ST NICHOLAS AVENUE,Manhattan,MN,1063779,2157,36,10/28/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1506 ST NICHOLAS AVENUE,Manhattan,MN,1063779,2157,36,6/17/17 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35245345Z,061717CERJM02
1508 SAINT NICHOLAS AVENUE,Manhattan,MN,1063779,2157,36,6/30/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
151 AVENUE C,Manhattan,MN,1004776,392,35,2/27/17 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35197049K,022517CNEJM03
151 DYCKMAN STREET,Manhattan,MN,1064744,2220,1,8/13/16 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196887P,081316CNEAC01
151 DYCKMAN STREET,Manhattan,MN,1064744,2220,1,5/10/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
151 DYCKMAN STREET,Manhattan,MN,1064744,2220,1,1/12/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,34925572L,01122013PAERDG02
1511 WHITE PLAINS ROAD,Bronx,BX,2028682,3923,39,7/14/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1511 WHITE PLAINS ROAD,Bronx,BX,2028682,3923,39,1/26/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1513 MYRTLE AVENUE,Brooklyn,BK,3400854,3318,1,1/24/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,10/31/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,12/6/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,11/22/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,7/20/12 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34985302X,
1518 MACOMBS ROAD,Bronx,BX,2008420,2865,19,1/4/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
152 ORCHARD STREET,Manhattan,MN,1005343,411,4,2/15/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006422P,
152 ORCHARD STREET,Manhattan,MN,1005343,411,4,8/14/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
152-34 ROCKAWAY BOULEVARD,Queens,QN,4263106,12125,31,10/28/12 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34995108L,
152-34 ROCKAWAY BOULEVARD,Queens,QN,4263106,12125,31,10/28/12 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,34995109N,
153 LENOX AVENUE,Manhattan,MN,1084391,1902,35,4/8/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
153-33 HILLSIDE AVENUE,Queens,QN,4207478,9706,52,2/28/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
153-33 HILLSIDE AVENUE,Queens,QN,4207478,9706,52,12/17/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1530 UNIVERSITY AVENUE,Bronx,BX,2008785,2875,45,1/31/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1530 UNIVERSITY AVENUE,Bronx,BX,2008785,2875,45,7/17/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1536 MYRTLE AVENUE,Brooklyn,BK,3076496,3345,23,5/19/17 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1536 RALPH AVENUE,Brooklyn,BK,3825171,7955,11,6/15/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1538 WEBSTER AVENUE,Bronx,BX,2009395,2896,95,4/29/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1538 WEBSTER AVENUE,Bronx,BX,2009395,2896,95,11/21/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35111866K,112114PAERDM01
1538 WEBSTER AVENUE,Bronx,BX,2009395,2896,95,8/10/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35025448N,
154 EAST 112 STREET,Manhattan,MN,1086041,1639,49,3/3/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
154 EAST 112 STREET,Manhattan,MN,1086041,1639,49,10/7/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34995533M,
154 MANSION AVENUE,Staten Island,SI,5066187,5207,39,8/25/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
154 POST AVENUE,Manhattan,MN,1064789,2223,22,7/25/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
154 POST AVENUE,Manhattan,MN,1064789,2223,22,1/11/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
154 POST AVENUE,Manhattan,MN,1064789,2223,22,2/27/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
154 POST AVENUE,Manhattan,MN,1064789,2223,22,1/25/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1541 MYRTLE AVENUE,Brooklyn,BK,3076173,3328,1,10/23/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1541 MYRTLE AVENUE,Brooklyn,BK,3076173,3328,1,5/14/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
155 RIVINGTON STREET,Manhattan,MN,1004174,348,17,8/14/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
155 VARICK STREET,Manhattan,MN,1009744,579,68,9/29/12 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,34951745J,092812PAERFC01
1552 MYRTLE AVENUE,Brooklyn,BK,3822280,3345,30,9/22/15 0:00,STOP WORK ORDER FULLY RESCINDED N,,
1552 MYRTLE AVENUE,Brooklyn,BK,3822280,3345,30,9/20/13 0:00,STOP WORK ORDER FULLY RESCINDED N,,
1552 MYRTLE AVENUE,Brooklyn,BK,3822280,3345,30,9/20/13 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35022563Z,
1556 RALPH AVENUE,Brooklyn,BK,3222404,7955,17,6/16/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1556 RALPH AVENUE,Brooklyn,BK,3222404,7955,17,3/26/16 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168223Y,032616CPAER01
158 LUDLOW STREET,Manhattan,MN,1079699,411,50,9/19/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
158 NORMAN AVENUE,Brooklyn,BK,3066258,2651,3,2/22/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
158 NORMAN AVENUE,Brooklyn,BK,3066258,2651,3,2/21/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1583 2 AVENUE,Manhattan,MN,1048656,1528,21,3/15/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1584 2 AVENUE,Manhattan,MN,1049872,1545,1,9/22/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,10/4/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35065302K,
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,10/4/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35022569J,
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,5/3/13 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35015583K,050313CNER01
159 EAST HOUSTON STREET,Manhattan,MN,1005542,417,18,5/3/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35015584M,050313PANEJM01
1590 WESTCHESTER AVENUE,Bronx,BX,2023991,3743,45,1/3/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081011K,010314CNETM01
1590 WESTCHESTER AVENUE,Bronx,BX,2023991,3743,45,1/3/14 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081185K,010314CNETM01
1591 2 AVENUE,Manhattan,MN,1048660,1528,25,3/15/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35015053N,
1591 2 AVENUE,Manhattan,MN,1048660,1528,25,3/15/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35010676R,
16 1 AVENUE,Manhattan,MN,1005731,429,4,4/11/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
16 1 AVENUE,Manhattan,MN,1005731,429,4,12/15/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
16-11 CENTRAL AVENUE,Queens,QN,4298241,15559,40,4/23/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
16-33 WOODBINE STREET,Queens,QN,4082327,3445,1,10/16/15 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35160636X,101615CEJM02
160 PRINCE STREET,Manhattan,MN,1084916,502,16,2/22/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
160 SCOTT AVENUE,Brooklyn,BK,3070579,2979,5,12/31/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1609 NOSTRAND AVENUE,Brooklyn,BK,3110367,4915,1,1/17/14 0:00,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35081087R,011714CERFC01
161 LUDLOW STREET,Manhattan,MN,1005409,412,35,5/31/13 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35022286J,
161 LUDLOW STREET,Manhattan,MN,1005409,412,35,10/9/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
161 LUDLOW STREET,Manhattan,MN,1005409,412,35,3/13/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1616 CASTLETON AVENUE,Staten Island,SI,5025490,1082,33,8/15/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35103229H,
1616 CASTLETON AVENUE,Staten Island,SI,5025490,1082,33,8/15/14 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35103228X,
162 EAST 102 STREET,Manhattan,MN,1051851,1629,47,4/22/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1625 EAST 233 STREET,Bronx,BX,2067184,4973,2,11/23/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
163 DONGAN STREET,Staten Island,SI,5142567,212,33,8/17/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1634 NOSTRAND AVENUE,Brooklyn,BK,3118091,5140,18,1/17/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1641 2 AVENUE,Manhattan,MN,1048768,1531,21,9/22/12 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,1/24/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,6/13/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,10/4/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,9/12/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,10/2/15 0:00,COMPLAINT UNSUBSTANTIATED BASED ON DEPARTMENT RECORDS,,
1647 PACIFIC STREET,Brooklyn,BK,3337879,1334,37,1/25/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
165 LUDLOW STREET,Manhattan,MN,1005407,412,33,8/11/12 0:00,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,34985177X,081012CERLP01
165 WEST 26 STREET,Manhattan,MN,1015033,802,6,12/2/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006500L,
165 WEST 26 STREET,Manhattan,MN,1015033,802,6,12/2/12 0:00,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35000252Y,
1650 3 AVENUE,Manhattan,MN,1048353,1521,34,3/15/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
166 NORTH 7 STREET,Brooklyn,BK,3062094,2328,8,9/15/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
167-02 BAISLEY BOULEVARD,Queens,QN,4270044,12495,45,3/23/13 0:00,ADMINISTRATIVE CLOSURE NN,,
167-02 BAISLEY BOULEVARD,Queens,QN,4270044,12495,45,2/28/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1674 RICHMOND ROAD,Staten Island,SI,5050604,3531,9,3/29/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1679 HYLAN BOULEVARD,Staten Island,SI,5157687,3340,96,8/8/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
168-02 HILLSIDE AVENUE,Queens,QN,4210127,9821,6,1/18/13 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
168-02 HILLSIDE AVENUE,Queens,QN,4210127,9821,6,6/27/15 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
168-02 HILLSIDE AVENUE,Queens,QN,4210127,9821,6,9/14/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
1683 MADISON STREET,Queens,QN,4082424,3450,43,4/5/14 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,10/9/15 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35161197H,100915CNERWS02
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,10/9/15 0:00,MARCH: NO PA PERMIT/ECB NOV ISSUED,35161197H,100915CNERWS03
169 EAST BROADWAY,Manhattan,MN,1003625,284,26,5/22/16 0:00,MARCH: NO ENFORCEMENT ACTION TAKEN,,
